CLIP Pseudo-label 錯誤樣本分析
====================================================================================================

整體準確率: 84.26% (14884/17664)
錯誤樣本數: 2780/17664

====================================================================================================

錯誤樣本詳細資訊:
----------------------------------------------------------------------------------------------------
Idx    信心度        真實類別                                預測類別                                路徑
793    0.1697     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/220_0.02174171791311248M58-FORK拖鏈支撐板_90Axis_328degree.jpg
795    0.1982     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/222_0.021569133108510215M58-FORK拖鏈支撐板_90Axis_340degree.jpg
796    0.1848     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/223_0.021390597103749256M58-FORK拖鏈支撐板_45Axis_192degree.jpg
797    0.1637     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/224_0.021299345367982545M58-FORK拖鏈支撐板_90Axis_336degree.jpg
798    0.1648     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/225_0.021263638167030353M58-FORK拖鏈支撐板_315Axis_176degree.jpg
801    0.2130     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/228_0.021239833366395556M58-FORK拖鏈支撐板_90Axis_344degree.jpg
802    0.1553     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/229_0.0212001586986709M58-FORK拖鏈支撐板_315Axis_200degree.jpg
804    0.1863     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/230_0.02118032136480857M58-FORK拖鏈支撐板_315Axis_352degree.jpg
805    0.1555     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/231_0.021166435231104938M58-FORK拖鏈支撐板_45Axis_340degree.jpg
806    0.1521     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/232_0.02108510216226939M58-FORK拖鏈支撐板_45Axis_16degree.jpg
807    0.2603     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/233_0.021073199761951995M58-FORK拖鏈支撐板_90Axis_172degree.jpg
808    0.1764     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/234_0.02103550882761357M58-FORK拖鏈支撐板_45Axis_4degree.jpg
809    0.1797     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/235_0.020999801626661378M58-FORK拖鏈支撐板_45Axis_188degree.jpg
810    0.2382     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/236_0.020950208292005553M58-FORK拖鏈支撐板_90Axis_184degree.jpg
811    0.1630     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/237_0.020948224558619322M58-FORK拖鏈支撐板_315Axis_204degree.jpg
812    0.1421     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/238_0.020904582424122197M58-FORK拖鏈支撐板_315Axis_168degree.jpg
815    0.2048     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/25_0.028857369569529855M58-FORK拖鏈支撐板_90Axis_108degree.jpg
818    0.2029     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/28_0.02867684983138266M58-FORK拖鏈支撐板_90Axis_296degree.jpg
819    0.2100     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/29_0.028553858361436223M58-FORK拖鏈支撐板_90Axis_292degree.jpg
827    0.2093     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/36_0.0283535012894267M58-FORK拖鏈支撐板_90Axis_288degree.jpg
835    0.2093     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/43_0.02822257488593533M58-FORK拖鏈支撐板_90Axis_284degree.jpg
838    0.2060     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/46_0.028087681015671495M58-FORK拖鏈支撐板_315Axis_248degree.jpg
841    0.2189     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/49_0.028020234080539577M58-FORK拖鏈支撐板_315Axis_60degree.jpg
844    0.2219     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/51_0.027966673279111287M58-FORK拖鏈支撐板_315Axis_68degree.jpg
846    0.2077     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/53_0.027907161277524302M58-FORK拖鏈支撐板_315Axis_64degree.jpg
855    0.2176     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/61_0.02767308073794882M58-FORK拖鏈支撐板_315Axis_252degree.jpg
857    0.1943     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/63_0.027607617536203135M58-FORK拖鏈支撐板_315Axis_56degree.jpg
859    0.2215     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/65_0.02755604046816108M58-FORK拖鏈支撐板_315Axis_72degree.jpg
868    0.2056     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/73_0.02724062685975005M58-FORK拖鏈支撐板_45Axis_288degree.jpg
869    0.1953     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/74_0.027210870858956557M58-FORK拖鏈支撐板_315Axis_244degree.jpg
876    0.1746     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/80_0.027155326324142037M58-FORK拖鏈支撐板_45Axis_296degree.jpg
877    0.1923     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/81_0.027151358857369568M58-FORK拖鏈支撐板_315Axis_52degree.jpg
879    0.1630     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/83_0.027087879389010118M58-FORK拖鏈支撐板_45Axis_304degree.jpg
880    0.2130     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/84_0.027072009521920255M58-FORK拖鏈支撐板_315Axis_232degree.jpg
882    0.2431     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/86_0.027042253521126762M58-FORK拖鏈支撐板_315Axis_76degree.jpg
883    0.1916     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/87_0.026980757786153543M58-FORK拖鏈支撐板_45Axis_292degree.jpg
885    0.1805     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/89_0.026851815116048405M58-FORK拖鏈支撐板_315Axis_240degree.jpg
890    0.1640     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/93_0.02673279111287443M58-FORK拖鏈支撐板_45Axis_300degree.jpg
891    0.1904     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/94_0.026728823646101962M58-FORK拖鏈支撐板_315Axis_236degree.jpg
892    0.2031     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/95_0.026683197778218606M58-FORK拖鏈支撐板_45Axis_284degree.jpg
895    0.2097     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/98_0.026566157508430867M58-FORK拖鏈支撐板_315Axis_256degree.jpg
907    0.1748     M58-FORK拖鏈支撐板-2                     M58-FORK拖鏈支撐板                       data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/109_0.024122197976591948M58-FORK拖鏈支撐板-2_45Axis_204degree.jpg
925    0.1974     M58-FORK拖鏈支撐板-2                     M58-FORK拖鏈支撐板                       data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/125_0.0235826224955366M58-FORK拖鏈支撐板-2_315Axis_280degree.jpg
927    0.2052     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/127_0.023499305693314817M58-FORK拖鏈支撐板-2_90Axis_188degree.jpg
929    0.1618     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/129_0.02344772862527276M58-FORK拖鏈支撐板-2_90Axis_136degree.jpg
932    0.1649     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/131_0.02333663955564372M58-FORK拖鏈支撐板-2_90Axis_12degree.jpg
933    0.1827     M58-FORK拖鏈支撐板-2                     M58-FORK拖鏈支撐板                       data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/132_0.02328902995437413M58-FORK拖鏈支撐板-2_315Axis_336degree.jpg
936    0.1805     M58-FORK拖鏈支撐板-2                     M58-FORK拖鏈支撐板                       data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/135_0.023148184883951598M58-FORK拖鏈支撐板-2_315Axis_276degree.jpg
938    0.2143     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/137_0.02312239634993057M58-FORK拖鏈支撐板-2_90Axis_8degree.jpg
955    0.2955     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/152_0.022297163261257687M58-FORK拖鏈支撐板-2_90Axis_352degree.jpg
960    0.1836     M58-FORK拖鏈支撐板-2                     M58-FORK拖鏈支撐板                       data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/157_0.021979765919460423M58-FORK拖鏈支撐板-2_315Axis_340degree.jpg
971    0.2424     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/167_0.021505653640150765M58-FORK拖鏈支撐板-2_90Axis_4degree.jpg
972    0.1666     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/168_0.021446141638563777M58-FORK拖鏈支撐板-2_315Axis_176degree.jpg
981    0.2400     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/176_0.021120809363221582M58-FORK拖鏈支撐板-2_90Axis_184degree.jpg
982    0.1822     M58-FORK拖鏈支撐板-2                     M58-FORK拖鏈支撐板                       data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/177_0.021108906962904187M58-FORK拖鏈支撐板-2_315Axis_344degree.jpg
986    0.2987     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/180_0.02081531442174172M58-FORK拖鏈支撐板-2_90Axis_348degree.jpg
991    0.2217     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/185_0.020730013886133703M58-FORK拖鏈支撐板-2_315Axis_184degree.jpg
992    0.2944     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/186_0.020710176552271375M58-FORK拖鏈支撐板-2_90Axis_356degree.jpg
994    0.1744     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/188_0.0206030549494148M58-FORK拖鏈支撐板-2_315Axis_48degree.jpg
995    0.1972     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/189_0.020509819480261853M58-FORK拖鏈支撐板-2_90Axis_140degree.jpg
1001   0.1989     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/194_0.020174568537988494M58-FORK拖鏈支撐板-2_45Axis_4degree.jpg
1002   0.2038     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/195_0.02017060107121603M58-FORK拖鏈支撐板-2_315Axis_44degree.jpg
1003   0.1976     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/196_0.019875024796667327M58-FORK拖鏈支撐板-2_315Axis_352degree.jpg
1004   0.1312     M58-FORK拖鏈支撐板-2                     M58-時規皮帶齒條                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/197_0.019851219996032534M58-FORK拖鏈支撐板-2_0Axis_176degree.jpg
1009   0.1351     M58-FORK拖鏈支撐板-2                     M58-時規皮帶齒條                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/200_0.019805594128149178M58-FORK拖鏈支撐板-2_0Axis_172degree.jpg
1010   0.1368     M58-FORK拖鏈支撐板-2                     M58-時規皮帶齒條                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/201_0.019761951993652053M58-FORK拖鏈支撐板-2_0Axis_168degree.jpg
1011   0.1741     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/202_0.019748065859948424M58-FORK拖鏈支撐板-2_45Axis_128degree.jpg
1012   0.1277     M58-FORK拖鏈支撐板-2                     M58-時規皮帶齒條                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/203_0.01974608212656219M58-FORK拖鏈支撐板-2_0Axis_184degree.jpg
1013   0.1211     M58-FORK拖鏈支撐板-2                     M58-時規皮帶齒條                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/204_0.019742114659789724M58-FORK拖鏈支撐板-2_0Axis_188degree.jpg
1015   0.1509     M58-FORK拖鏈支撐板-2                     M58-時規皮帶齒條                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/206_0.01965681412418171M58-FORK拖鏈支撐板-2_0Axis_164degree.jpg
1016   0.1835     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/207_0.01962904185677445M58-FORK拖鏈支撐板-2_45Axis_184degree.jpg
1017   0.1326     M58-FORK拖鏈支撐板-2                     M58-乘載板導條                           data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/208_0.019613171989684586M58-FORK拖鏈支撐板-2_0Axis_200degree.jpg
1018   0.1291     M58-FORK拖鏈支撐板-2                     M58-時規皮帶齒條                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/209_0.019607220789525887M58-FORK拖鏈支撐板-2_0Axis_180degree.jpg
1020   0.1672     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/210_0.019601269589367188M58-FORK拖鏈支撐板-2_45Axis_8degree.jpg
1021   0.2348     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/211_0.019515969053759175M58-FORK拖鏈支撐板-2_45Axis_176degree.jpg
1022   0.2700     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/212_0.01947827811942075M58-FORK拖鏈支撐板-2_315Axis_180degree.jpg
1023   0.1747     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/213_0.01946637571910335M58-FORK拖鏈支撐板-2_90Axis_320degree.jpg
1024   0.1255     M58-FORK拖鏈支撐板-2                     M58-乘載板導條                           data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/214_0.01942273358460623M58-FORK拖鏈支撐板-2_0Axis_192degree.jpg
1025   0.1297     M58-FORK拖鏈支撐板-2                     M58-時規皮帶齒條                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/215_0.019365205316405475M58-FORK拖鏈支撐板-2_0Axis_196degree.jpg
1026   0.1780     M58-FORK拖鏈支撐板-2                     M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板-2/216_0.019333465582225748M58-FORK拖鏈支撐板-2_45Axis_132degree.jpg
